Unnamed: 0,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
184,Zimbabwe Vs Netherlands,Zimbabwe,9,Sikandar Raza,40,24,3,3,166.66,out,T20I # 1859
185,Zimbabwe Vs Netherlands,Zimbabwe,11,Milton Shumba,2,3,0,0,66.66,out,T20I # 1859
186,Zimbabwe Vs Netherlands,Zimbabwe,13,Ryan Burl,2,7,0,0,28.57,out,T20I # 1859
187,Zimbabwe Vs Netherlands,Zimbabwe,15,Luke Jongwe,6,8,0,0,75.00,out,T20I # 1859
188,Zimbabwe Vs Netherlands,Zimbabwe,17,Richard Ngarava,9,7,0,1,128.57,out,T20I # 1859
189,Zimbabwe Vs Netherlands,Zimbabwe,19,Tendai Chatara,6,7,0,0,85.71,out,T20I # 1859
190,Zimbabwe Vs Netherlands,Zimbabwe,20,Blessing Muzarabani,1,4,0,0,25.00,out,T20I # 1859
191,Zimbabwe Vs Netherlands,Netherlands,1,Stephan Myburgh,8,7,0,1,114.28,out,T20I # 1859
192,Zimbabwe Vs Netherlands,Netherlands,3,Max O'Dowd,52,47,8,1,110.63,out,T20I # 1859
193,Zimbabwe Vs Netherlands,Netherlands,5,Tom Cooper,32,29,2,1,110.34,out,T20I # 1859
194,Zimbabwe Vs Netherlands,Netherlands,7,Colin Ackermann,1,5,0,0,20.00,out,T20I # 1859
195,Zimbabwe Vs Netherlands,Netherlands,9,Bas de Leede,12,12,2,0,100.00,out,T20I # 1859
196,Zimbabwe Vs Netherlands,Netherlands,10,Scott Edwards(c)†,5,6,1,0,83.33,out,T20I # 1859
197,Zimbabwe Vs Netherlands,Netherlands,12,Roelof van der Merwe,0,3,0,0,0.00,out,T20I # 1859
198,England Vs New Zealand,England,1,Jos Buttler(c)†,73,47,7,2,155.31,out,T20I # 1858
199,England Vs New Zealand,England,3,Alex Hales,52,40,7,1,130.00,out,T20I # 1858
200,England Vs New Zealand,England,5,Moeen Ali,5,6,0,0,83.33,out,T20I # 1858
201,England Vs New Zealand,England,7,Liam Livingstone,20,14,1,1,142.85,out,T20I # 1858
202,England Vs New Zealand,England,9,Harry Brook,7,3,0,1,233.33,out,T20I # 1858
203,England Vs New Zealand,England,11,Ben Stokes,8,7,0,0,114.28,out,T20I # 1858
204,England Vs New Zealand,England,13,Sam Curran,6,3,0,1,200.00,out,T20I # 1858
205,England Vs New Zealand,England,14,Dawid Malan,3,1,0,0,300.00,out,T20I # 1858
206,England Vs New Zealand,New Zealand,1,Finn Allen,16,11,0,1,145.45,out,T20I # 1858
207,England Vs New Zealand,New Zealand,3,Devon Conway†,3,9,0,0,33.33,out,T20I # 1858
208,England Vs New Zealand,New Zealand,5,Kane Williamson(c),40,40,3,0,100.00,out,T20I # 1858
209,England Vs New Zealand,New Zealand,7,Glenn Phillips,62,36,4,3,172.22,out,T20I # 1858
210,England Vs New Zealand,New Zealand,9,James Neesham,6,3,1,0,200.00,out,T20I # 1858
211,England Vs New Zealand,New Zealand,11,Daryl Mitchell,3,5,0,0,60.00,out,T20I # 1858
212,England Vs New Zealand,New Zealand,13,Mitchell Santner,16,10,0,1,160.00,out,T20I # 1858
213,England Vs New Zealand,New Zealand,14,Ish Sodhi,6,6,0,0,100.00,out,T20I # 1858
214,Afghanistan Vs Sri Lanka,Afghanistan,1,Rahmanullah Gurbaz†,28,24,2,2,116.66,out,T20I # 1856
215,Afghanistan Vs Sri Lanka,Afghanistan,3,Usman Ghani,27,27,2,1,100.00,out,T20I # 1856
216,Afghanistan Vs Sri Lanka,Afghanistan,5,Ibrahim Zadran,22,18,1,1,122.22,out,T20I # 1856
217,Afghanistan Vs Sri Lanka,Afghanistan,7,Najibullah Zadran,18,16,1,0,112.50,out,T20I # 1856
218,Afghanistan Vs Sri Lanka,Afghanistan,9,Gulbadin Naib,12,14,0,0,85.71,out,T20I # 1856
219,Afghanistan Vs Sri Lanka,Afghanistan,11,Mohammad Nabi(c),13,8,1,0,162.50,out,T20I # 1856
220,Afghanistan Vs Sri Lanka,Afghanistan,13,Rashid Khan,9,8,1,0,112.50,out,T20I # 1856
221,Afghanistan Vs Sri Lanka,Afghanistan,15,Azmatullah Omarzai,3,4,0,0,75.00,out,T20I # 1856
222,Afghanistan Vs Sri Lanka,Afghanistan,16,Mujeeb Ur Rahman,1,2,0,0,50.00,out,T20I # 1856
223,Afghanistan Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,10,10,2,0,100.00,out,T20I # 1856
224,Afghanistan Vs Sri Lanka,Sri Lanka,3,Kusal Mendis†,25,27,2,1,92.59,out,T20I # 1856
225,Afghanistan Vs Sri Lanka,Sri Lanka,5,Dhananjaya de Silva,66,42,6,2,157.14,out,T20I # 1856
226,Afghanistan Vs Sri Lanka,Sri Lanka,6,Charith Asalanka,19,18,1,0,105.55,out,T20I # 1856
227,Afghanistan Vs Sri Lanka,Sri Lanka,8,Bhanuka Rajapaksa,18,14,3,0,128.57,out,T20I # 1856
228,Afghanistan Vs Sri Lanka,Sri Lanka,10,Dasun Shanaka(c),0,0,0,0,-,out,T20I # 1856
229,Australia Vs Ireland,Australia,1,David Warner,3,7,0,0,42.85,out,T20I # 1855
230,Australia Vs Ireland,Australia,3,Aaron Finch(c),63,44,5,3,143.18,out,T20I # 1855
231,Australia Vs Ireland,Australia,5,Mitchell Marsh,28,22,2,2,127.27,out,T20I # 1855
232,Australia Vs Ireland,Australia,7,Glenn Maxwell,13,9,0,1,144.44,out,T20I # 1855
233,Australia Vs Ireland,Australia,9,Marcus Stoinis,35,25,3,1,140.00,out,T20I # 1855
234,Australia Vs Ireland,Australia,11,Tim David,15,10,2,0,150.00,out,T20I # 1855
235,Australia Vs Ireland,Australia,12,Matthew Wade†,7,3,1,0,233.33,out,T20I # 1855
236,Australia Vs Ireland,Ireland,1,Paul Stirling,11,7,1,1,157.14,out,T20I # 1855
237,Australia Vs Ireland,Ireland,3,Andy Balbirnie(c),6,7,0,1,85.71,out,T20I # 1855
238,Australia Vs Ireland,Ireland,5,Lorcan Tucker†,71,48,9,1,147.91,out,T20I # 1855
239,Australia Vs Ireland,Ireland,6,Harry Tector,6,4,1,0,150.00,out,T20I # 1855
240,Australia Vs Ireland,Ireland,8,Curtis Campher,0,1,0,0,0.00,out,T20I # 1855
241,Australia Vs Ireland,Ireland,10,George Dockrell,0,4,0,0,0.00,out,T20I # 1855
242,Australia Vs Ireland,Ireland,12,Gareth Delany,14,10,2,0,140.00,out,T20I # 1855
243,Australia Vs Ireland,Ireland,14,Mark Adair,11,11,1,0,100.00,out,T20I # 1855
244,Australia Vs Ireland,Ireland,16,Fionn Hand,6,6,1,0,100.00,out,T20I # 1855
245,Australia Vs Ireland,Ireland,18,Barry McCarthy,3,7,0,0,42.85,out,T20I # 1855
246,Australia Vs Ireland,Ireland,20,Josh Little,1,5,0,0,20.00,out,T20I # 1855
247,India Vs South Africa,India,1,KL Rahul,9,14,0,1,64.28,out,T20I # 1853
248,India Vs South Africa,India,3,Rohit Sharma(c),15,14,1,1,107.14,out,T20I # 1853
249,India Vs South Africa,India,5,Virat Kohli,12,11,2,0,109.09,out,T20I # 1853
250,India Vs South Africa,India,7,Suryakumar Yadav,68,40,6,3,170.00,out,T20I # 1853
251,India Vs South Africa,India,9,Deepak Hooda,0,3,0,0,0.00,out,T20I # 1853
252,India Vs South Africa,India,11,Hardik Pandya,2,3,0,0,66.66,out,T20I # 1853
253,India Vs South Africa,India,13,Dinesh Karthik†,6,15,0,0,40.00,out,T20I # 1853
254,India Vs South Africa,India,15,Ravichandran Ashwin,7,11,0,0,63.63,out,T20I # 1853
255,India Vs South Africa,India,17,Bhuvneshwar Kumar,4,6,0,0,66.66,out,T20I # 1853
256,India Vs South Africa,India,18,Mohammed Shami,0,2,0,0,0.00,out,T20I # 1853
257,India Vs South Africa,India,20,Arshdeep Singh,2,1,0,0,200.00,out,T20I # 1853
