Unnamed: 0,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
175,Australia Vs Ireland,Australia,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0,T20I # 1855
176,Australia Vs Ireland,Australia,Mitchell Starc,4.0,1,43,2,10.75,11,8,0,2,1,T20I # 1855
177,Australia Vs Ireland,Australia,Adam Zampa,4.0,0,19,2,4.75,9,1,0,0,0,T20I # 1855
178,Australia Vs Ireland,Australia,Marcus Stoinis,1.0,0,6,1,6.0,2,0,0,0,0,T20I # 1855
179,India Vs South Africa,South Africa,Wayne Parnell,4.0,1,15,3,3.75,16,0,1,0,0,T20I # 1853
180,India Vs South Africa,South Africa,Kagiso Rabada,4.0,0,26,0,6.5,13,2,1,1,0,T20I # 1853
181,India Vs South Africa,South Africa,Lungi Ngidi,4.0,0,29,4,7.25,10,3,1,0,0,T20I # 1853
182,India Vs South Africa,South Africa,Anrich Nortje,4.0,0,23,1,5.75,12,1,1,0,0,T20I # 1853
183,India Vs South Africa,South Africa,Keshav Maharaj,3.0,0,28,0,9.33,5,3,1,0,0,T20I # 1853
184,India Vs South Africa,South Africa,Aiden Markram,1.0,0,5,0,5.0,1,0,0,0,0,T20I # 1853
185,India Vs South Africa,India,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0,T20I # 1853
186,India Vs South Africa,India,Arshdeep Singh,4.0,0,25,2,6.25,13,4,0,1,0,T20I # 1853
187,India Vs South Africa,India,Mohammed Shami,4.0,0,13,1,3.25,15,1,0,0,0,T20I # 1853
188,India Vs South Africa,India,Hardik Pandya,4.0,0,29,1,7.25,8,3,0,0,0,T20I # 1853
189,India Vs South Africa,India,Ravichandran Ashwin,4.0,0,43,1,10.75,5,1,4,0,0,T20I # 1853
190,Netherlands Vs Pakistan,Pakistan,Shaheen Shah Afridi,4.0,0,19,1,4.75,13,1,0,1,0,T20I # 1852
191,Netherlands Vs Pakistan,Pakistan,Naseem Shah,4.0,0,11,1,2.75,15,0,0,0,0,T20I # 1852
192,Netherlands Vs Pakistan,Pakistan,Mohammad Wasim,3.0,0,15,2,5.0,10,1,0,1,0,T20I # 1852
193,Netherlands Vs Pakistan,Pakistan,Haris Rauf,3.0,0,10,1,3.33,11,1,0,0,0,T20I # 1852
194,Netherlands Vs Pakistan,Pakistan,Shadab Khan,4.0,0,22,3,5.5,11,2,0,0,0,T20I # 1852
195,Netherlands Vs Pakistan,Pakistan,Mohammad Nawaz,2.0,0,11,0,5.5,3,0,0,0,0,T20I # 1852
196,Netherlands Vs Pakistan,Netherlands,Fred Klaassen,3.0,0,26,0,8.66,4,3,0,0,0,T20I # 1852
197,Netherlands Vs Pakistan,Netherlands,Paul van Meekeren,4.0,0,19,1,4.75,15,2,0,0,0,T20I # 1852
198,Netherlands Vs Pakistan,Netherlands,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0,T20I # 1852
199,Netherlands Vs Pakistan,Netherlands,Tim Pringle,1.0,0,12,0,12.0,1,2,0,0,0,T20I # 1852
200,Netherlands Vs Pakistan,Netherlands,Logan van Beek,2.0,0,9,0,4.5,5,0,0,0,0,T20I # 1852
201,Netherlands Vs Pakistan,Netherlands,Roelof van der Merwe,1.0,0,7,0,7.0,1,0,0,0,0,T20I # 1852
202,Bangladesh Vs Zimbabwe,Zimbabwe,Richard Ngarava,4.0,0,24,2,6.0,11,2,0,2,0,T20I # 1851
203,Bangladesh Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,2.0,0,13,2,6.5,8,3,0,0,0,T20I # 1851
204,Bangladesh Vs Zimbabwe,Zimbabwe,Tendai Chatara,3.0,0,18,0,6.0,7,1,0,0,0,T20I # 1851
205,Bangladesh Vs Zimbabwe,Zimbabwe,Sikandar Raza,4.0,0,35,1,8.75,2,2,1,0,0,T20I # 1851
206,Bangladesh Vs Zimbabwe,Zimbabwe,Brad Evans,3.0,0,32,0,10.66,2,3,1,1,0,T20I # 1851
207,Bangladesh Vs Zimbabwe,Zimbabwe,Wessly Madhevere,2.0,0,18,0,9.0,0,1,0,0,0,T20I # 1851
208,Bangladesh Vs Zimbabwe,Zimbabwe,Sean Williams,2.0,0,10,1,5.0,4,0,0,1,0,T20I # 1851
209,Bangladesh Vs Zimbabwe,Bangladesh,Taskin Ahmed,4.0,1,19,3,4.75,15,3,0,0,0,T20I # 1851
210,Bangladesh Vs Zimbabwe,Bangladesh,Hasan Mahmud,4.0,0,36,0,9.0,8,5,0,3,0,T20I # 1851
211,Bangladesh Vs Zimbabwe,Bangladesh,Mosaddek Hossain,4.0,0,34,2,8.5,11,3,2,0,1,T20I # 1851
212,Bangladesh Vs Zimbabwe,Bangladesh,Mustafizur Rahman,4.0,0,15,2,3.75,11,0,0,0,0,T20I # 1851
213,Bangladesh Vs Zimbabwe,Bangladesh,Shakib Al Hasan,4.0,0,34,0,8.5,5,3,0,0,0,T20I # 1851
214,New Zealand Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,35,1,8.75,7,2,2,1,0,T20I # 1850
215,New Zealand Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4.0,0,23,2,5.75,16,3,0,1,2,T20I # 1850
216,New Zealand Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2.0,0,14,1,7.0,4,1,0,0,0,T20I # 1850
217,New Zealand Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4.0,0,22,1,5.5,9,1,0,0,0,T20I # 1850
218,New Zealand Vs Sri Lanka,Sri Lanka,Lahiru Kumara,3.0,0,37,1,12.33,2,2,2,2,1,T20I # 1850
