name,team,link
Sam Curran,England,https://www.espncricinfo.com/cricketers/sam-curran-662973
Chris Woakes,England,https://www.espncricinfo.com/cricketers/chris-woakes-247235
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Chris Woakes,England,https://www.espncricinfo.com/cricketers/chris-woakes-247235
Mark Wood,England,https://www.espncricinfo.com/cricketers/mark-wood-351588
Sam Curran,England,https://www.espncricinfo.com/cricketers/sam-curran-662973
Adil Rashid,England,https://www.espncricinfo.com/cricketers/adil-rashid-244497
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Moeen Ali,England,https://www.espncricinfo.com/cricketers/moeen-ali-8917
Maheesh Theekshana,Sri Lanka,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316
Kasun Rajitha,Sri Lanka,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594
Lahiru Kumara,Sri Lanka,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375
Wanindu Hasaranga,Sri Lanka,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
Dhananjaya de Silva,Sri Lanka,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793
Charith Asalanka,Sri Lanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367
David Warner,Australia,https://www.espncricinfo.com/cricketers/david-warner-219889
Cameron Green,Australia,https://www.espncricinfo.com/cricketers/cameron-green-1076713
Mitchell Marsh,Australia,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
Steven Smith,Australia,https://www.espncricinfo.com/cricketers/steven-smith-267192
Marcus Stoinis,Australia,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
Glenn Maxwell,Australia,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
Matthew Wade(c)†,Australia,https://www.espncricinfo.com/cricketers/matthew-wade-230193
Pat Cummins,Australia,https://www.espncricinfo.com/cricketers/pat-cummins-489889
Kane Richardson,Australia,https://www.espncricinfo.com/cricketers/kane-richardson-272262
Adam Zampa,Australia,https://www.espncricinfo.com/cricketers/adam-zampa-379504
Rahmanullah Gurbaz†,Afghanistan,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087
Usman Ghani,Afghanistan,https://www.espncricinfo.com/cricketers/usman-ghani-711559
Ibrahim Zadran,Afghanistan,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509
Gulbadin Naib,Afghanistan,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048
Mohammad Nabi(c),Afghanistan,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913
Najibullah Zadran,Afghanistan,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049
Darwish Rasooli,Afghanistan,https://www.espncricinfo.com/cricketers/darwish-rasooli-819441
Rashid Khan,Afghanistan,https://www.espncricinfo.com/cricketers/rashid-khan-793463
Naveen-ul-Haq,Afghanistan,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447
Fazalhaq Farooqi,Afghanistan,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
Mujeeb Ur Rahman,Afghanistan,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109
Naveen-ul-Haq,Afghanistan,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447
Gulbadin Naib,Afghanistan,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048
Rashid Khan,Afghanistan,https://www.espncricinfo.com/cricketers/rashid-khan-793463
Mohammad Nabi,Afghanistan,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913
Josh Hazlewood,Australia,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284
Pat Cummins,Australia,https://www.espncricinfo.com/cricketers/pat-cummins-489889
Marcus Stoinis,Australia,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
Kane Richardson,Australia,https://www.espncricinfo.com/cricketers/kane-richardson-272262
Adam Zampa,Australia,https://www.espncricinfo.com/cricketers/adam-zampa-379504
Cameron Green,Australia,https://www.espncricinfo.com/cricketers/cameron-green-1076713
Finn Allen,New Zealand,https://www.espncricinfo.com/cricketers/finn-allen-959759
Devon Conway†,New Zealand,https://www.espncricinfo.com/cricketers/devon-conway-379140
Kane Williamson(c),New Zealand,https://www.espncricinfo.com/cricketers/kane-williamson-277906
Glenn Phillips,New Zealand,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
Daryl Mitchell,New Zealand,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743
James Neesham,New Zealand,https://www.espncricinfo.com/cricketers/james-neesham-355269
Mitchell Santner,New Zealand,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
Tim Southee,New Zealand,https://www.espncricinfo.com/cricketers/tim-southee-232364
Paul Stirling,Ireland,https://www.espncricinfo.com/cricketers/paul-stirling-303427
Andy Balbirnie(c),Ireland,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423
Lorcan Tucker†,Ireland,https://www.espncricinfo.com/cricketers/lorcan-tucker-928057
Harry Tector,Ireland,https://www.espncricinfo.com/cricketers/harry-tector-961407
Gareth Delany,Ireland,https://www.espncricinfo.com/cricketers/gareth-delany-1099379
George Dockrell,Ireland,https://www.espncricinfo.com/cricketers/george-dockrell-348034
Curtis Campher,Ireland,https://www.espncricinfo.com/cricketers/curtis-campher-595921
Fionn Hand,Ireland,https://www.espncricinfo.com/cricketers/fionn-hand-1099225
Mark Adair,Ireland,https://www.espncricinfo.com/cricketers/mark-adair-526441
Barry McCarthy,Ireland,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059
Josh Little,Ireland,https://www.espncricinfo.com/cricketers/josh-little-928067
