,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
134,Zimbabwe Vs Netherlands,Netherlands,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
135,Zimbabwe Vs Netherlands,Netherlands,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
136,Zimbabwe Vs Netherlands,Zimbabwe,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0
137,Zimbabwe Vs Netherlands,Zimbabwe,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0
138,Zimbabwe Vs Netherlands,Zimbabwe,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0
139,Zimbabwe Vs Netherlands,Zimbabwe,Sean Williams,3,0,21,0,7.00,8,2,1,0,0
140,Zimbabwe Vs Netherlands,Zimbabwe,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0
141,Zimbabwe Vs Netherlands,Zimbabwe,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1
142,England Vs New Zealand,New Zealand,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
143,England Vs New Zealand,New Zealand,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
144,England Vs New Zealand,New Zealand,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
145,England Vs New Zealand,New Zealand,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
146,England Vs New Zealand,New Zealand,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
147,England Vs New Zealand,England,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0
148,England Vs New Zealand,England,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0
149,England Vs New Zealand,England,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0
150,England Vs New Zealand,England,Sam Curran,4,0,26,2,6.50,9,0,0,2,0
151,England Vs New Zealand,England,Mark Wood,3,0,25,1,8.33,8,2,1,1,0
152,England Vs New Zealand,England,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0
153,England Vs New Zealand,England,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0
154,Afghanistan Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
155,Afghanistan Vs Sri Lanka,Sri Lanka,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
156,Afghanistan Vs Sri Lanka,Sri Lanka,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
157,Afghanistan Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
158,Afghanistan Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0
159,Afghanistan Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
160,Afghanistan Vs Sri Lanka,Afghanistan,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0
161,Afghanistan Vs Sri Lanka,Afghanistan,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0
162,Afghanistan Vs Sri Lanka,Afghanistan,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0
163,Afghanistan Vs Sri Lanka,Afghanistan,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0
164,Afghanistan Vs Sri Lanka,Afghanistan,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0
165,Afghanistan Vs Sri Lanka,Afghanistan,Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0
166,Afghanistan Vs Sri Lanka,Afghanistan,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0
167,Australia Vs Ireland,Ireland,Josh Little,4,0,21,2,5.25,13,2,0,2,0
168,Australia Vs Ireland,Ireland,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
169,Australia Vs Ireland,Ireland,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
170,Australia Vs Ireland,Ireland,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
171,Australia Vs Ireland,Ireland,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
172,Australia Vs Ireland,Ireland,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
173,Australia Vs Ireland,Australia,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0
174,Australia Vs Ireland,Australia,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0
175,Australia Vs Ireland,Australia,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0
176,Australia Vs Ireland,Australia,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1
177,Australia Vs Ireland,Australia,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0
178,Australia Vs Ireland,Australia,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0
179,India Vs South Africa,South Africa,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
180,India Vs South Africa,South Africa,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
181,India Vs South Africa,South Africa,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
182,India Vs South Africa,South Africa,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
183,India Vs South Africa,South Africa,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
184,India Vs South Africa,South Africa,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
185,India Vs South Africa,India,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0
186,India Vs South Africa,India,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0
187,India Vs South Africa,India,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0
188,India Vs South Africa,India,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0
189,India Vs South Africa,India,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0
190,Netherlands Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
191,Netherlands Vs Pakistan,Pakistan,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
192,Netherlands Vs Pakistan,Pakistan,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
193,Netherlands Vs Pakistan,Pakistan,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
194,Netherlands Vs Pakistan,Pakistan,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
195,Netherlands Vs Pakistan,Pakistan,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
196,Netherlands Vs Pakistan,Netherlands,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0
197,Netherlands Vs Pakistan,Netherlands,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0
198,Netherlands Vs Pakistan,Netherlands,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0
199,Netherlands Vs Pakistan,Netherlands,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0
200,Netherlands Vs Pakistan,Netherlands,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0
201,Netherlands Vs Pakistan,Netherlands,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0
202,Bangladesh Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
203,Bangladesh Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
204,Bangladesh Vs Zimbabwe,Zimbabwe,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
205,Bangladesh Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
206,Bangladesh Vs Zimbabwe,Zimbabwe,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
207,Bangladesh Vs Zimbabwe,Zimbabwe,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
208,Bangladesh Vs Zimbabwe,Zimbabwe,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
209,Bangladesh Vs Zimbabwe,Bangladesh,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0
210,Bangladesh Vs Zimbabwe,Bangladesh,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0
211,Bangladesh Vs Zimbabwe,Bangladesh,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1
212,Bangladesh Vs Zimbabwe,Bangladesh,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0
213,Bangladesh Vs Zimbabwe,Bangladesh,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0
214,New Zealand Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
215,New Zealand Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
216,New Zealand Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
217,New Zealand Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,22,1,5.50,9,1,0,0,0
218,New Zealand Vs Sri Lanka,Sri Lanka,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
219,New Zealand Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
220,New Zealand Vs Sri Lanka,New Zealand,Tim Southee,4,1,12,1,3.00,18,0,1,1,0
221,New Zealand Vs Sri Lanka,New Zealand,Trent Boult,4,0,13,4,3.25,18,1,0,1,0
222,New Zealand Vs Sri Lanka,New Zealand,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0
223,New Zealand Vs Sri Lanka,New Zealand,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0
224,New Zealand Vs Sri Lanka,New Zealand,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0
225,Zimbabwe Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
226,Zimbabwe Vs Pakistan,Pakistan,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
227,Zimbabwe Vs Pakistan,Pakistan,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
228,Zimbabwe Vs Pakistan,Pakistan,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
229,Zimbabwe Vs Pakistan,Pakistan,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
230,Zimbabwe Vs Pakistan,Zimbabwe,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0
231,Zimbabwe Vs Pakistan,Zimbabwe,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0
232,Zimbabwe Vs Pakistan,Zimbabwe,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
233,Zimbabwe Vs Pakistan,Zimbabwe,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
234,Zimbabwe Vs Pakistan,Zimbabwe,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0
235,Zimbabwe Vs Pakistan,Zimbabwe,Sean Williams,2,0,15,0,7.50,1,0,0,1,0
236,Zimbabwe Vs Pakistan,Zimbabwe,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0
237,India Vs Netherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
238,India Vs Netherlands,Netherlands,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
239,India Vs Netherlands,Netherlands,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
240,India Vs Netherlands,Netherlands,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
241,India Vs Netherlands,Netherlands,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
242,India Vs Netherlands,Netherlands,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
243,India Vs Netherlands,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0
244,India Vs Netherlands,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
245,India Vs Netherlands,India,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
246,India Vs Netherlands,India,Axar Patel,4,0,18,2,4.50,11,0,0,0,0
247,India Vs Netherlands,India,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0
248,India Vs Netherlands,India,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
249,South Africa Vs Bangladesh,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
250,South Africa Vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
251,South Africa Vs Bangladesh,Bangladesh,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
252,South Africa Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
253,South Africa Vs Bangladesh,Bangladesh,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
254,South Africa Vs Bangladesh,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
255,South Africa Vs Bangladesh,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
256,South Africa Vs Bangladesh,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0
257,South Africa Vs Bangladesh,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0
258,South Africa Vs Bangladesh,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
259,South Africa Vs Bangladesh,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0
260,South Africa Vs Bangladesh,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0
261,Ireland Vs England,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0
262,Ireland Vs England,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0
263,Ireland Vs England,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0
264,Ireland Vs England,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0
265,Ireland Vs England,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0
266,Ireland Vs England,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0
